id_piloto,id_corrida,tipo_stat,valor
32,8,2,2,00
32,8,3,84,20
32,8,4,78,90
32,8,5,3,00
32,8,6,13,20
33,1,1,77,22
33,1,2,1,00
33,1,3,83,00
33,1,4,79,00
33,1,5,3,00
33,1,6,12,00
42,7,1,81,60
42,7,2,2,00
42,7,3,84,20
42,7,4,78,00
42,7,5,1,00
42,7,6,18,30
44,3,1,92,20
44,3,2,1,00
44,3,3,81,30
44,3,4,76,00
44,3,5,15,00
44,3,6,19,00
44,6,1,92,70
44,6,2,3,00
44,6,3,84,80
44,6,4,78,30
44,6,5,12,00
44,6,6,14,50
45,10,1,84,90
45,10,2,2,00
45,10,3,81,80
45,10,4,79,50
45,10,5,3,00
45,10,6,5,70
92,10,1,99,90
92,10,2,3,00
92,10,3,80,10
92,10,4,79,40
92,10,5,20,00
92,10,6,17,50
111,10,1,93,50
111,10,2,3,00
111,10,3,82,80
111,10,4,76,00
111,10,5,11,00
111,10,6,17,40
86,10,1,94,70
86,10,2,1,00
86,10,3,84,10
86,10,4,76,70
86,10,5,13,00
86,10,6,13,30
127,10,1,88,70
127,10,2,1,00
127,10,3,84,20
127,10,4,78,90
127,10,5,8,00
127,10,6,8,80
128,10,1,88,60
128,10,2,3,00
128,10,3,82,60
128,10,4,77,50
128,10,5,7,00
128,10,6,13,40
59,10,1,94,20
59,10,2,1,00
59,10,3,83,00
59,10,4,79,50
59,10,5,12,00
59,10,6,14,00
5,10,1,99,20
5,10,2,3,00
5,10,3,82,70
5,10,4,76,10
5,10,5,18,00
5,10,6,16,10
57,10,1,96,30
57,10,2,3,00
57,10,3,81,40
57,10,4,78,50
57,10,5,14,00
57,10,6,18,20
29,10,1,99,40
29,10,2,2,00
29,10,3,82,00
29,10,4,79,10
29,10,5,19,00
29,10,6,5,00
15,10,1,88,80
15,10,2,3,00
15,10,3,82,70
15,10,4,77,20
15,10,5,9,00
53,32,5,12,00
53,32,6,6,20
135,32,1,81,30
135,32,2,1,00
135,32,3,82,10
135,32,4,75,90
135,32,5,3,00
135,32,6,16,40
182,32,1,89,10
182,32,2,1,00
182,32,3,81,80
182,32,4,79,70
182,32,5,16,00
182,32,6,8,60
5,32,1,80,90
5,32,2,2,00
5,32,3,84,10
5,32,4,77,60
5,32,5,1,00
5,32,6,6,50
151,32,1,85,60
40,79,2,2,00
154,54,1,99,40
151,32,4,76,50
151,32,5,9,00
151,32,6,14,30
176,32,1,98,00
176,32,2,1,00
176,32,3,83,20
176,32,4,76,70
176,32,5,20,00
176,32,6,19,30
18,32,1,81,00
18,32,2,3,00
18,32,3,84,80
18,32,4,75,50
18,32,5,2,00
18,32,6,7,40
149,125,1,87,90
151,32,2,1,00
151,32,3,82,10
128,145,6,15,95
187,163,4,76,95
5,180,2,1,00
74,197,2,3,00
143,210,3,82,03
136,221,6,14,02
186,32,4,77,90
186,32,5,6,00
141,232,6,18,79
98,33,1,88,70
98,33,2,3,00
98,33,3,81,80
98,33,4,79,90
98,33,5,15,00
98,33,6,8,20
172,33,1,97,50
172,33,2,2,00
172,33,3,81,40
172,33,4,75,50
172,33,5,19,00
172,33,6,7,90
167,33,1,86,30
167,33,2,3,00
167,33,3,83,60
167,33,4,79,00
167,33,5,13,00
167,33,6,6,40
104,33,1,81,30
104,33,2,2,00
104,33,3,82,40
104,33,4,75,80
104,33,5,2,00
104,33,6,6,60
42,33,1,80,70
42,33,2,3,00
42,33,3,80,40
42,33,4,75,10
42,33,5,1,00
42,33,6,12,40
130,33,1,85,60
130,33,2,2,00
130,33,3,84,10
130,33,4,76,10
130,33,5,10,00
130,33,6,12,70
5,33,1,83,10
5,33,2,2,00
5,33,3,81,10
5,33,4,75,50
5,33,5,4,00
5,33,6,13,00
95,33,1,85,70
95,33,2,3,00
95,33,3,80,90
95,33,4,78,10
95,33,5,11,00
95,33,6,5,20
34,33,1,96,40
34,33,2,2,00
34,33,3,82,80
34,33,4,78,70
34,33,5,18,00
34,33,6,9,50
169,33,1,83,90
169,33,2,1,00
169,33,3,81,10
169,33,4,78,50
169,33,5,6,00
169,33,6,16,90
123,33,1,97,80
123,33,2,3,00
123,33,3,83,20
123,33,4,79,30
123,33,5,20,00
123,33,6,11,10
189,33,1,82,20
189,33,2,3,00
189,33,3,83,60
189,33,4,77,30
189,33,5,3,00
189,33,6,16,50
150,33,1,95,30
150,33,2,3,00
150,33,3,83,10
150,33,4,75,60
150,33,5,17,00
150,33,6,10,10
93,33,1,85,90
93,33,2,2,00
93,33,3,82,30
93,33,4,78,30
93,33,5,12,00
93,33,6,19,50
19,33,1,87,60
19,33,2,2,00
19,33,3,81,60
19,33,4,77,40
19,33,5,14,00
19,33,6,9,70
44,33,1,84,10
44,33,2,3,00
44,33,3,82,10
44,33,4,75,80
44,33,5,8,00
44,33,6,16,90
16,33,1,88,90
16,33,2,2,00
16,33,3,82,40
16,33,4,76,80
16,33,5,16,00
16,33,6,19,10
121,33,1,84,10
121,33,2,1,00
121,33,3,82,30
121,33,4,78,40
121,33,5,7,00
121,33,6,11,40
192,33,1,83,30
192,33,2,3,00
192,33,3,81,80
192,33,4,77,60
192,33,5,5,00
192,33,6,6,10
13,33,1,85,40
13,33,2,3,00
13,33,3,84,60
13,33,4,79,50
13,33,5,9,00
13,33,6,5,90
57,34,1,80,70
57,34,2,3,00
57,34,3,83,50
57,34,4,76,90
57,34,5,1,00
57,34,6,9,70
192,34,1,90,90
192,34,2,1,00
192,34,3,81,90
192,34,4,75,80
192,34,5,10,00
192,34,6,17,30
92,34,1,92,10
92,34,2,1,00
92,34,3,82,80
92,34,4,75,20
92,34,5,12,00
92,34,6,7,70
52,34,1,86,40
52,34,2,2,00
52,34,3,82,00
52,34,4,75,00
52,34,5,8,00
52,34,6,8,40
182,34,1,85,20
182,34,2,1,00
182,34,3,84,60
182,34,4,79,70
182,34,5,7,00
182,34,6,14,60
122,34,1,91,50
122,34,2,1,00
122,34,3,82,00
122,34,4,78,20
122,34,5,11,00
122,34,6,13,90
38,34,1,99,90
38,34,2,3,00
38,34,3,84,00
38,34,4,78,90
38,34,5,20,00
38,34,6,7,90
100,34,1,80,80
100,34,2,1,00
100,34,3,83,00
100,34,4,75,30
100,34,5,2,00
100,34,6,8,40
105,34,1,98,30
105,34,2,1,00
105,34,3,80,30
105,34,4,79,00
105,34,5,18,00
105,34,6,16,90
107,34,1,83,90
107,34,2,3,00
107,34,3,84,70
107,34,4,76,50
107,34,5,4,00
107,34,6,16,60
43,34,1,84,00
43,34,2,2,00
43,34,3,80,00
43,34,4,76,60
43,34,5,5,00
43,34,6,9,00
189,34,1,81,40
189,34,2,3,00
60,242,6,12,91
189,34,4,76,70
189,34,5,3,00
189,34,6,18,10
35,34,1,93,80
35,34,2,1,00
35,34,3,81,50
35,34,4,78,20
35,34,5,14,00
35,34,6,7,10
171,34,1,84,30
171,34,2,2,00
171,34,3,83,00
171,34,4,79,80
171,34,5,6,00
171,34,6,6,50
82,253,6,16,82
79,264,2,2,00
189,34,3,83,80
79,1,1,91,95
79,1,2,2,00
79,1,3,84,00
79,1,4,80,00
79,1,5,12,00
79,1,6,12,00
79,8,1,93,50
79,8,2,1,00
79,8,3,80,80
79,8,4,75,60
79,8,5,18,00
79,8,6,11,10
81,2,1,99,10
81,2,2,2,00
81,2,3,83,60
81,2,4,76,40
81,2,5,19,00
81,2,6,19,50
82,6,1,89,40
82,6,2,3,00
82,6,3,80,40
82,6,4,76,90
82,6,5,8,00
82,6,6,5,30
84,5,1,83,80
84,5,2,3,00
84,5,3,80,50
84,5,4,76,80
84,5,5,5,00
84,5,6,13,30
85,2,1,90,90
85,2,2,3,00
85,2,3,80,80
85,2,4,79,20
85,2,5,11,00
85,2,6,15,50
86,5,1,97,60
86,5,2,3,00
86,5,3,84,30
86,5,4,76,00
86,5,5,20,00
86,5,6,8,60
88,5,1,82,60
88,5,2,2,00
88,5,3,84,20
88,5,4,79,80
88,5,5,2,00
88,5,6,13,00
88,9,1,90,20
88,9,2,3,00
88,9,3,84,20
88,9,4,78,90
88,9,5,11,00
88,9,6,13,60
89,7,1,85,30
89,7,2,2,00
89,7,3,83,30
89,7,4,75,20
89,7,5,6,00
89,7,6,15,90
90,7,1,83,10
90,7,2,2,00
90,7,3,82,20
90,7,4,78,00
90,7,5,3,00
90,7,6,13,80
91,3,1,80,30
91,3,2,3,00
91,3,3,81,90
91,3,4,75,60
91,3,5,1,00
91,3,6,8,90
91,4,1,81,10
91,4,2,3,00
91,4,3,80,90
91,4,4,75,40
91,4,5,1,00
91,4,6,13,70
15,10,6,10,30
95,10,1,93,00
95,10,2,2,00
95,10,3,84,60
95,10,4,76,60
95,10,5,10,00
95,10,6,5,30
10,10,1,98,80
10,10,2,3,00
10,10,3,83,30
10,10,4,75,10
10,10,5,17,00
10,10,6,6,60
104,272,2,1,00
93,10,2,3,00
93,10,3,82,20
93,10,4,77,70
93,10,5,16,00
85,277,2,3,00
24,10,1,85,00
24,10,2,2,00
24,10,3,83,90
24,10,4,78,60
24,10,5,4,00
24,10,6,8,40
105,10,1,96,50
105,10,2,1,00
105,10,3,81,90
105,10,4,78,10
105,10,5,15,00
105,10,6,15,20
51,10,1,87,10
51,10,2,2,00
51,10,3,82,20
51,10,4,77,00
51,10,5,6,00
51,10,6,10,00
74,10,1,87,00
74,10,2,2,00
74,10,3,80,80
74,10,4,75,70
74,10,5,5,00
74,10,6,8,90
93,10,1,95,10
71,281,1,84,86
189,283,6,13,57
42,285,5,3,00
98,288,5,7,00
93,10,6,11,90
116,10,1,83,20
116,10,2,1,00
116,10,3,84,10
116,10,4,76,90
116,10,5,1,00
116,10,6,17,00
42,11,1,81,90
182,289,2,1,00
152,291,4,77,86
157,293,2,2,00
42,11,5,5,00
42,11,6,19,40
110,11,1,99,90
110,11,2,2,00
110,11,3,81,00
110,11,4,79,30
110,11,5,20,00
110,11,6,15,20
145,11,1,83,10
145,11,2,1,00
131,295,2,3,00
165,297,3,81,97
154,299,3,81,57
145,11,6,7,10
105,11,1,83,40
105,11,2,1,00
105,11,3,84,40
105,11,4,78,80
105,11,5,6,00
105,11,6,17,30
128,11,1,81,90
128,11,2,3,00
128,11,3,84,50
128,11,4,76,80
128,11,5,4,00
128,11,6,16,10
89,11,1,91,30
89,11,2,1,00
89,11,3,80,60
89,11,4,79,50
89,11,5,14,00
89,11,6,13,60
126,302,1,90,01
42,11,2,1,00
42,11,3,81,90
42,11,4,79,70
17,304,4,76,58
84,306,5,8,00
146,11,1,84,50
146,11,2,2,00
146,11,3,82,10
146,11,4,77,30
146,11,5,7,00
146,11,6,13,30
15,11,1,94,00
15,11,2,1,00
15,11,3,83,90
15,11,4,80,00
15,11,5,16,00
15,11,6,15,10
104,11,1,88,80
104,11,2,2,00
104,11,3,82,30
104,11,4,77,10
104,11,5,9,00
104,11,6,17,20
99,11,1,91,30
99,11,2,3,00
99,11,3,81,70
99,11,4,75,80
99,11,5,13,00
99,11,6,11,50
101,308,1,91,15
119,310,1,98,36
145,11,3,85,00
145,11,4,75,60
145,11,5,2,00
104,312,4,78,09
44,11,1,80,40
44,11,2,2,00
44,11,3,81,80
44,11,4,80,00
44,11,5,1,00
44,11,6,16,60
31,11,1,88,50
31,11,2,1,00
77,313,5,5,00
177,313,5,1,00
125,313,6,15,90
31,11,6,5,80
8,11,1,90,20
8,11,2,1,00
8,11,3,80,90
8,11,4,77,00
8,11,5,12,00
8,11,6,18,50
107,313,5,17,00
153,314,5,3,00
31,11,3,81,40
31,11,4,79,20
31,11,5,10,00
133,314,2,1,00
94,11,1,98,50
94,11,2,3,00
94,11,3,84,90
94,11,4,76,40
94,11,5,18,00
94,11,6,11,20
125,11,1,91,40
125,11,2,2,00
125,11,3,81,60
125,11,4,79,30
125,11,5,15,00
125,11,6,16,60
129,11,1,81,60
129,11,2,1,00
129,11,3,84,40
129,11,4,79,90
129,11,5,3,00
129,11,6,16,90
39,11,1,87,60
39,11,2,3,00
39,11,3,83,60
39,11,4,80,00
39,11,5,8,00
39,11,6,11,90
103,12,1,94,90
103,12,2,2,00
103,12,3,81,20
103,12,4,75,80
93,2,1,83,40
93,2,2,1,00
93,2,3,83,80
93,2,4,77,30
93,2,5,3,00
93,2,6,12,50
94,2,1,98,90
94,2,2,3,00
94,2,3,81,70
94,2,4,75,80
94,2,5,18,00
94,2,6,10,80
94,3,1,93,80
94,3,2,2,00
94,3,3,83,40
94,3,4,75,80
94,3,5,17,00
94,3,6,16,10
96,1,1,99,94
96,1,2,3,00
96,1,3,82,00
96,1,4,75,00
96,1,5,20,00
96,1,6,10,00
97,3,1,81,90
97,3,2,3,00
97,3,3,81,80
97,3,4,78,70
97,3,5,4,00
97,3,6,14,90
97,5,1,89,00
97,5,2,2,00
97,5,3,81,30
97,5,4,76,80
97,5,5,9,00
97,5,6,5,30
98,3,1,84,80
98,3,2,2,00
98,3,3,82,50
98,3,4,76,10
98,3,5,6,00
98,3,6,17,10
98,6,1,80,50
98,6,2,2,00
98,6,3,80,30
98,6,4,78,10
98,6,5,2,00
98,6,6,8,30
99,6,1,99,60
99,6,2,1,00
99,6,3,81,40
99,6,4,75,10
99,6,5,20,00
99,6,6,7,80
99,8,1,83,00
99,8,2,2,00
99,8,3,82,30
99,8,4,76,90
99,8,5,4,00
99,8,6,9,00
100,3,1,81,50
100,3,2,3,00
100,3,3,80,50
100,3,4,77,80
100,3,5,3,00
100,3,6,12,60
101,7,1,88,60
101,7,2,3,00
101,7,3,83,50
101,7,4,79,50
101,7,5,11,00
101,7,6,7,70
105,5,1,89,20
105,5,2,1,00
105,5,3,80,60
105,5,4,76,80
105,5,5,11,00
105,5,6,17,60
105,9,1,88,90
105,9,2,3,00
105,9,3,83,20
105,9,4,75,40
105,9,5,10,00
105,9,6,8,20
103,12,5,15,00
103,12,6,16,20
118,12,1,99,70
118,12,2,2,00
118,12,3,83,80
118,12,4,79,10
118,12,5,20,00
118,12,6,18,20
59,12,1,94,50
59,12,2,3,00
59,12,3,84,90
59,12,4,79,10
59,12,5,12,00
59,12,6,10,30
115,12,1,97,70
115,12,2,1,00
115,12,3,84,90
115,12,4,78,50
115,12,5,18,00
115,12,6,8,10
116,12,1,84,00
116,12,2,3,00
116,12,3,84,20
116,12,4,77,70
116,12,5,3,00
116,12,6,8,00
78,12,1,84,50
78,12,2,2,00
78,12,3,84,70
78,12,4,79,10
78,12,5,4,00
78,12,6,6,20
52,12,1,91,20
52,12,2,3,00
52,12,3,81,70
52,12,4,75,50
52,12,5,8,00
52,12,6,9,00
4,12,1,86,00
4,12,2,3,00
4,12,3,82,00
4,12,4,77,60
4,12,5,6,00
4,12,6,17,10
142,12,1,81,70
142,12,2,2,00
142,12,3,83,00
142,12,4,75,60
142,12,5,1,00
142,12,6,18,20
11,12,1,91,90
11,12,2,1,00
11,12,3,82,20
11,12,4,75,30
11,12,5,9,00
11,12,6,9,60
89,12,1,99,20
89,12,2,2,00
89,12,3,83,40
89,12,4,77,70
89,12,5,19,00
89,12,6,9,10
100,12,1,95,40
100,12,2,3,00
100,12,3,83,60
100,12,4,79,10
100,12,5,17,00
100,12,6,16,20
15,12,1,87,10
15,12,2,1,00
15,12,3,82,20
15,12,4,77,80
15,12,5,7,00
15,12,6,16,10
80,12,1,94,70
80,12,2,2,00
80,12,3,80,20
80,12,4,75,10
80,12,5,14,00
80,12,6,15,10
132,12,1,85,40
132,12,2,2,00
132,12,3,84,10
132,12,4,75,90
132,12,5,5,00
132,12,6,17,40
122,12,1,92,90
122,12,2,2,00
122,12,3,80,50
122,12,4,79,10
122,12,5,10,00
122,12,6,7,90
112,12,1,95,10
112,12,2,3,00
112,12,3,84,60
112,12,4,76,70
112,12,5,16,00
112,12,6,7,10
76,12,1,83,00
76,12,2,2,00
76,12,3,80,70
76,12,4,78,30
76,12,5,2,00
76,12,6,12,50
109,12,1,93,20
109,12,2,1,00
109,12,3,82,80
109,12,4,78,40
109,12,5,11,00
109,12,6,16,50
130,12,1,94,70
130,12,2,1,00
130,12,3,83,90
130,12,4,75,60
130,12,5,13,00
130,12,6,12,70
14,314,5,20,00
178,314,5,1,00
93,13,3,82,10
93,13,4,76,50
93,13,5,13,00
165,314,2,1,00
72,315,1,85,62
105,315,6,19,82
197,315,3,82,50
46,13,4,77,00
46,13,5,15,00
46,13,6,19,00
40,13,1,80,80
40,13,2,1,00
40,13,3,83,60
40,13,4,79,50
40,13,5,1,00
40,13,6,14,50
46,13,1,81,00
46,13,2,2,00
46,13,3,82,00
143,315,5,20,00
43,315,5,9,00
83,315,5,18,00
39,13,1,89,70
39,13,2,1,00
39,13,3,81,10
39,13,4,78,40
39,13,5,9,00
39,13,6,18,20
34,13,1,95,30
34,13,2,3,00
34,13,3,80,10
34,13,4,76,60
34,13,5,12,00
34,13,6,19,60
149,13,1,81,40
149,13,2,3,00
149,13,3,80,00
149,13,4,76,50
149,13,5,2,00
149,13,6,15,30
140,13,1,88,60
140,13,2,3,00
140,13,3,85,00
140,13,4,77,50
140,13,5,7,00
140,13,6,19,10
24,13,1,87,70
24,13,2,3,00
24,13,3,81,30
24,13,4,78,70
24,13,5,6,00
24,13,6,9,60
188,316,2,3,00
29,316,5,12,00
29,316,6,14,48
200,4,1,87,50
200,4,2,3,00
200,4,3,80,40
200,4,4,78,00
200,4,5,8,00
200,4,6,17,90
188,316,3,81,27
188,316,4,77,05
188,316,5,13,00
14,13,1,98,60
14,13,2,2,00
14,13,3,83,30
14,13,4,79,80
14,13,5,20,00
14,13,6,15,80
31,13,1,92,20
31,13,2,1,00
31,13,3,80,20
31,13,4,77,40
31,13,5,11,00
31,13,6,19,20
147,13,1,97,60
147,13,2,3,00
147,13,3,82,20
147,13,4,79,90
147,13,5,18,00
147,13,6,8,00
26,13,1,88,80
26,13,2,1,00
26,13,3,81,60
26,13,4,79,50
26,13,5,8,00
26,13,6,15,40
133,13,1,91,30
133,13,2,2,00
133,13,3,83,70
133,13,4,77,00
133,13,5,10,00
133,13,6,6,90
93,13,1,86,40
93,13,2,2,00
188,316,6,11,49
81,316,1,84,23
81,316,2,2,00
93,13,6,14,00
150,13,1,84,40
150,13,2,2,00
150,13,3,80,80
150,13,4,75,50
150,13,5,3,00
150,13,6,11,30
119,13,1,87,40
119,13,2,2,00
119,13,3,81,70
119,13,4,79,00
119,13,5,5,00
119,13,6,19,70
16,13,1,97,40
16,13,2,3,00
16,13,3,82,80
16,13,4,78,30
16,13,5,17,00
16,13,6,13,50
136,13,1,98,30
136,13,2,1,00
136,13,3,83,60
136,13,4,76,90
136,13,5,19,00
136,13,6,17,60
108,14,1,91,30
108,14,2,1,00
108,14,3,83,40
108,14,4,79,80
108,14,5,14,00
108,14,6,17,40
78,14,1,85,20
78,14,2,3,00
78,14,3,84,60
78,14,4,79,00
78,14,5,1,00
78,14,6,15,60
3,14,1,82,20
3,14,2,1,00
81,316,3,84,27
81,316,4,78,31
81,316,5,6,00
3,14,6,12,40
81,316,6,6,63
18,316,1,84,15
18,316,2,1,00
18,316,3,83,21
18,316,4,79,20
18,316,5,5,00
90,14,1,95,20
90,14,2,2,00
90,14,3,82,40
90,14,4,79,80
90,14,5,17,00
90,14,6,9,90
18,316,6,17,57
98,316,1,92,79
3,14,3,81,20
3,14,4,79,40
3,14,5,15,00
98,316,2,3,00
130,14,1,88,40
130,14,2,3,00
130,14,3,83,00
130,14,4,77,50
130,14,5,6,00
130,14,6,7,90
116,14,1,88,70
116,14,2,3,00
116,14,3,83,60
116,14,4,79,60
116,14,5,7,00
116,14,6,9,10
59,14,1,90,70
59,14,2,3,00
59,14,3,80,10
59,14,4,77,30
59,14,5,10,00
59,14,6,17,00
106,14,1,86,10
106,14,2,1,00
106,14,3,83,60
106,14,4,75,30
106,14,5,2,00
106,14,6,14,50
150,14,1,93,50
150,14,2,1,00
150,14,3,81,50
150,14,4,75,10
150,14,5,16,00
150,14,6,12,50
65,14,1,87,20
65,14,2,2,00
65,14,3,82,10
65,14,4,79,20
65,14,5,4,00
65,14,6,13,50
45,14,1,98,90
45,14,2,2,00
45,14,3,82,70
45,14,4,76,00
45,14,5,19,00
45,14,6,18,80
60,14,1,90,40
60,14,2,1,00
60,14,3,82,80
60,14,4,75,20
60,14,5,9,00
60,14,6,9,00
135,14,1,89,00
135,14,2,3,00
135,14,3,84,90
135,14,4,76,70
135,14,5,8,00
135,14,6,13,60
93,14,1,95,50
93,14,2,3,00
93,14,3,81,10
93,14,4,76,60
93,14,5,18,00
93,14,6,12,70
134,14,1,99,00
134,14,2,1,00
134,14,3,82,50
134,14,4,78,80
134,14,5,20,00
134,14,6,7,40
122,14,1,88,40
122,14,2,1,00
122,14,3,81,20
122,14,4,78,90
122,14,5,5,00
122,14,6,7,50
140,14,1,87,20
140,14,2,1,00
140,14,3,84,70
140,14,4,78,70
140,14,5,3,00
140,14,6,12,30
12,14,1,91,00
12,14,2,1,00
12,14,3,80,50
12,14,4,78,10
12,14,5,11,00
12,14,6,7,10
36,15,1,98,00
36,15,2,2,00
36,15,3,80,50
36,15,4,77,40
36,15,5,15,00
36,15,6,18,80
132,15,1,95,00
132,15,2,2,00
132,15,3,82,10
132,15,4,78,30
132,15,5,11,00
132,15,6,12,40
116,15,1,87,90
116,15,2,3,00
116,15,3,82,70
116,15,4,77,10
116,15,5,3,00
116,15,6,12,40
136,15,1,97,20
136,15,2,3,00
136,15,3,80,30
136,15,4,79,40
136,15,5,14,00
136,15,6,18,50
104,15,1,91,50
104,15,2,3,00
104,15,3,84,20
104,15,4,76,60
104,15,5,5,00
104,15,6,17,50
143,15,1,96,20
143,15,2,2,00
143,15,3,84,10
143,15,4,79,20
143,15,5,12,00
143,15,6,16,90
28,15,1,98,10
28,15,2,2,00
28,15,3,82,50
28,15,4,79,10
28,15,5,16,00
28,15,6,18,50
88,15,1,80,70
88,15,2,1,00
88,15,3,83,30
88,15,4,75,80
88,15,5,1,00
88,15,6,5,50
101,15,1,91,70
101,15,2,1,00
101,15,3,81,10
101,15,4,79,70
101,15,5,6,00
101,15,6,9,10
71,15,1,91,90
71,15,2,3,00
71,15,3,80,90
71,15,4,77,40
71,15,5,7,00
71,15,6,5,70
26,15,1,99,60
26,15,2,2,00
26,15,3,80,10
26,15,4,75,10
26,15,5,19,00
26,15,6,17,00
39,15,1,98,80
39,15,2,1,00
106,3,1,95,10
106,3,2,1,00
106,3,3,83,80
106,3,4,75,50
106,3,5,18,00
106,3,6,11,30
107,8,1,89,30
107,8,2,1,00
107,8,3,83,50
107,8,4,80,00
107,8,5,13,00
107,8,6,13,60
108,6,1,92,00
108,6,2,3,00
108,6,3,82,90
108,6,4,77,10
108,6,5,11,00
108,6,6,16,30
39,15,3,82,70
39,15,4,78,10
39,15,5,17,00
39,15,6,16,00
134,15,1,94,60
134,15,2,1,00
134,15,3,82,70
134,15,4,77,40
134,15,5,9,00
134,15,6,18,50
74,15,1,88,40
74,15,2,1,00
74,15,3,81,00
74,15,4,77,70
74,15,5,4,00
74,15,6,11,40
84,15,1,93,10
84,15,2,3,00
84,15,3,83,90
84,15,4,78,00
84,15,5,8,00
84,15,6,14,60
66,15,1,99,30
66,15,2,1,00
66,15,3,84,90
66,15,4,77,80
66,15,5,18,00
66,15,6,19,70
82,15,1,99,90
82,15,2,1,00
82,15,3,84,30
82,15,4,77,40
82,15,5,20,00
82,15,6,13,90
98,15,1,97,20
98,15,2,1,00
98,15,3,82,60
98,15,4,76,20
98,15,5,13,00
98,15,6,18,70
29,15,1,87,40
29,15,2,1,00
29,15,3,82,10
29,15,4,76,80
29,15,5,2,00
29,15,6,11,70
142,15,1,94,90
142,15,2,2,00
142,15,3,80,70
142,15,4,76,80
142,15,5,10,00
142,15,6,8,00
83,315,6,18,15
39,16,2,1,00
39,16,3,82,40
39,16,4,78,00
103,315,1,94,70
103,315,2,3,00
34,16,1,86,90
34,16,2,2,00
34,16,3,84,60
34,16,4,79,20
34,16,5,11,00
34,16,6,18,60
64,16,1,82,80
64,16,2,2,00
64,16,3,85,00
64,16,4,75,60
64,16,5,5,00
64,16,6,8,10
51,16,1,82,40
51,16,2,2,00
51,16,3,84,40
51,16,4,75,70
51,16,5,3,00
51,16,6,12,80
88,16,1,82,60
88,16,2,1,00
88,16,3,83,30
88,16,4,76,20
88,16,5,4,00
88,16,6,15,20
43,16,1,98,50
43,16,2,2,00
43,16,3,80,50
43,16,4,79,10
43,16,5,20,00
43,16,6,9,70
103,315,3,80,28
103,315,4,79,05
23,16,3,83,80
23,16,4,76,80
